Year	Code	File name prefix	Author	Work	Licence
1926	lb1463296	BergmanHj_JonasOchHelen_1926	Hjalmar Bergman	Jonas och Helen	cc-by	
1910	lb14636490	EngstromA_Min5teBok_1910	Albert Engström	Min 5te bok. Berättelser och stämningar	cc-by	
1868	lb14662244	LjungstedtA_PsykologiskaGator1_1868	Aurora Ljungstedt	Psykologiska gåtor. En berättelse af Claude Gerard. Första delen	cc-by	
1868	lb14662246	LjungstedtA_PsykologiskaGator2_1868	Aurora Ljungstedt	Psykologiska gåtor. En berättelse af Claude Gerard. Andra delen	cc-by	
1868	lb14662247	LjungstedtA_PsykologiskaGator3_1868	Aurora Ljungstedt	Psykologiska gåtor. En berättelse af Claude Gerard. Tredje delen	cc-by	
1922	lb1470072	BergmanHj_ErosBegravning_1922	Hjalmar Bergman	Eros’ begravning	cc-by	
1925	lb1470073	BergmanHj_FlickanIFrack_1925	Hjalmar Bergman	Flickan i frack	cc-by	
1924	lb1481465	SandelM_DropparIFolkhavet_1924	Maria Sandel	Droppar i folkhavet	cc-by	
1924	lb1484747	VarnlundR_DodaManniskor_1924	Rudolf Värnlund	Döda människor. Noveller	cc-by	
1923	lb1486149	KrusenstjernaA_EnDagdriverskasAnteckningar_1923	Agnes von Krusenstjerna	En dagdriverskas anteckningar. Silhuetter, skisser och fantasistycken	cc-by	
1922	lb1486150	KrusenstjernaA_TonyVaxerUpp_1922	Agnes von Krusenstjerna	Tony växer upp. Scener ur ett barndomsliv	cc-by	
1924	lb1486151	KrusenstjernaA_TonysLaroar_1924	Agnes von Krusenstjerna	Tonys läroår. Episoder ur en ungdom	cc-by	
1925	lb1486307	LagerlofS_LowenskoldskaR_1925	Selma Lagerlöf	Löwensköldska ringen	cc-by	
1930	lb1490335	KrusenstjernaA_Kvinnogatan_1930	Agnes von Krusenstjerna	Fröknarna von Pahlen II. Kvinnogatan	cc-by	
1930	lb1490336	KrusenstjernaA_DenBlaRullgardinen_1930	Agnes von Krusenstjerna	Fröknarna von Pahlen I. Den blå rullgardinen 	cc-by	
1931	lb1490337	KrusenstjernaA_HostensSkuggor_1931	Agnes von Krusenstjerna	Fröknarna von Pahlen III. Höstens skuggor	cc-by	
1935	lb1490339	KrusenstjernaA_BrollopPaEkered_1935	Agnes von Krusenstjerna	Fröknarna von Pahlen VI. Bröllop på Ekered	cc-by	
1933	lb1490340	KrusenstjernaA_PortenVidJohannes_1933	Agnes von Krusenstjerna	Fröknarna von Pahlen IV. Porten vid Johannes	cc-by	
1933	lb1490341	KrusenstjernaA_AlskandePar_1933	Agnes von Krusenstjerna	Fröknarna von Pahlen V. Älskande par	cc-by	
