Year	Code	File name prefix	Author	Work	Licence
1865	lb3021673	RydbergV_Singoalla_1865	Viktor Rydberg	Dimmor. Fantasier och historier. Singoalla	cc-by	
1910	lb305433	HanssonO_Rustgarden_1910	Ola Hansson	Rustgården	cc-by	
1895	lb305463	HanssonO_ResanHemI_1895	Ola Hansson	Resan hem. En ungdoms- och vandringshistoria. I	cc-by	
1895	lb305464	HanssonO_ResanHemII_1895	Ola Hansson	Resan hem. En ungdoms- och vandringshistoria. II	cc-by	
1911	lb3066081	KochM_Ellen_1911	Martin Koch	Ellen. En liten historia	cc-by	
1895	lb31096	GeijerstamG_MedusasHufvud_1895	Gustaf af Geijerstam	Medusas hufvud. En spöksyn ur lifvet	cc-by	
1901	lb31100	HanssonO_ForeGiftermalet_1901	Ola Hansson	Före giftermålet	cc-by	
1899	lb31102	LevertinO_Rococonoveller_1899	Oscar Levertin	Rococo-noveller	cc-by	
1896	lb31105	HanssonO_VagenTillLifvet_1896	Ola Hansson	Vägen till lifvet	cc-by	
1889	lb3112850	ElkanS_DurOchMoll_1889	Sophie Elkan	Dur och moll. Skizzer och berättelser af Rust Roest	cc-by	
1893	lb3112869	ElkanS_RikaFlickor_1893	Sophie Elkan	Rika flickor. Berättelse af Rust Roest, förf. till »Dur och Moll», »Med sordin» m.m.	cc-by	
1891	lb3112883	ElkanS_MedSordin_1891	Sophie Elkan	Med sordin. Skisser och novelletter af Rust Roest, förf. till »Dur och moll»	cc-by	
1910	lb31200	WagnerE_Pennskaftet1910_1910	Elin Wägner	Pennskaftet [1910]	cc-by	
1891	lb31501	LundegardA_LaMouche_1891	Axel Lundegård	La Mouche. En roman från ett dödsläger	cc-by	
1894	lb31869	LagerlofS_OsynligaLankar_1894	Selma Lagerlöf	Osynliga länkar. Berättelser [1894]	cc-by	
1908	lb3191797	WagmanFO_SherlockHolmes_1908	Frans Oskar Wågman	Sherlock Holmes i ny belysning	cc-by	
1922	lb3208338	AnderssonD_PosthumaNoveller_1922	Dan Andersson	Posthuma noveller. Korta historier – Efterlämnade noveller – Chi-mo-ka-ma – Litteraturkritik [Samlade skrifter 4]	cc-by	
1853	lb3259766	LjungstedtA_HinOndesHus_1853	Aurora Ljungstedt	Hin Ondes hus	cc-by	
1907	lb338841	LagerlofS_NilsHolgersson1_1907	Selma Lagerlöf	Nils Holgerssons underbara resa genom Sverige. Första bandet	cc-by	
1907	lb338842	LagerlofS_NilsHolgersson2_1907	Selma Lagerlöf	Nils Holgerssons underbara resa genom Sverige. Andra bandet	cc-by	
1912	lb354083	SoderbergH_DenAllvarsamma_1912	Hjalmar Söderberg	Den allvarsamma leken	cc-by	
1906	lb37338	HogbergO_DenStoraVreden1_1906	Olof Högberg	Den stora vreden. Nordsvenska öden ur häfd och sägen. Första delen	cc-by	
1906	lb37339	HogbergO_DenStoraVreden2_1906	Olof Högberg	Den stora vreden. Nordsvenska öden ur häfd och sägen. Andra delen	cc-by	
1906	lb37340	HogbergO_DenStoraVreden3_1906	Olof Högberg	Den stora vreden. Nordsvenska öden ur häfd och sägen. Tredje delen	cc-by	
1924	lb38258	SjobergB_KvartettenSomForra_1924	Birger Sjöberg	Kvartetten, som sprängdes. Förra delen	cc-by	
1924	lb38259	SjobergB_KvartettenSomSenare_1924	Birger Sjöberg	Kvartetten, som sprängdes. Senare delen	cc-by	
1916	lb41844	KochM_GudsVackraVarldI_1916	Martin Koch	Guds vackra värld. En historia om rätt och orätt. Del I	cc-by	
1916	lb41845	KochM_GudsVackraVarldII_1916	Martin Koch	Guds vackra värld. En historia om rätt och orätt. Del II	cc-by	
1909	lb443177	BergmanHj_Savonarola_1909	Hjalmar Bergman	Savonarola. En munkhistoria berättad af Messer Guidantonio Vespucci	cc-by	
1940	lb472691	BoyeK_Kallocain_1940	Karin Boye	Kallocain. Roman från 2000-talet	cc-by	
1859	lb479295	RydbergV_DenSisteAthenaren_1859	Viktor Rydberg	Den siste athenaren	cc-by	
1906	lb494247	BergmanHj_Solivro_1906	Hjalmar Bergman	Solivro. Prins af Aeretanien	cc-by	
1912	lb494265	BergmanHj_ViBookarKrokarochRothar_1912	Hjalmar Bergman	Vi Bookar Krokar och Rothar	cc-by	
1900	lb497987	GeijerstamG_BokenOmLilleBror_1900	Gustaf af Geijerstam	Boken om Lille-Bror. Ett äktenskaps roman	cc-by	
1892	lb498837	HanssonO_KarlekensTrangmal_1892	Ola Hansson	Kärlekens trångmål	cc-by	
1889	lb499304	HeidenstamV_Endymion_1889	Verner von Heidenstam	Endymion	cc-by	
1897	lb499345	HeidenstamV_KarolinernaI_1897	Verner von Heidenstam	Karolinerna. Berättelser. Första samlingen	cc-by	
1898	lb499346	HeidenstamV_KarolinernaII_1898	Verner von Heidenstam	Karolinerna. Berättelser. Andra samlingen	cc-by	
1905	lb499468	HeidenstamV_FolkungatradetFolkeFilbyter_1905	Verner von Heidenstam	Folkungaträdet. Folke Filbyter	cc-by	
1915	lb501508	LagerlofS_TrollOchMann_1915	Selma Lagerlöf	Troll och människor	cc-by	
1912	lb501583	LagerlofS_Korkarlen_1912	Selma Lagerlöf	Körkarlen	cc-by	
1904	lb501605	LagerlofS_Kristuslegender_1904	Selma Lagerlöf	Kristuslegender	cc-by	
1912	lb53736	KochM_Arbetare_1912	Martin Koch	Arbetare. En historia om hat	cc-by	
1902	lb53883	LagerlofS_JerusalemII_1902	Selma Lagerlöf	Jerusalem. II. I det heliga landet. Berättelse	cc-by	
1901	lb53884	LagerlofS_JerusalemI_1901	Selma Lagerlöf	Jerusalem. I. I Dalarne. Berättelse	cc-by	
1928	lb674497	BergmanHj_LottenBrennersFerier_1928	Hjalmar Bergman	Lotten Brenners ferier	cc-by	
1923	lb674931	BergmanHj_JagLjungMedardus_1923	Hjalmar Bergman	Jag, Ljung och Medardus	cc-by	
1865	lb70057	FlygareCarlenE_SkuggspelForraDelen_1865	Emilie Flygare-Carlén	Skuggspel. Tidsmålningar och ungdomsbilder. Förra delen	cc-by	
1865	lb70058	FlygareCarlenE_SkuggspelSenareDelen_1865	Emilie Flygare-Carlén	Skuggspel. Tidsmålningar och ungdomsbilder. Senare delen	cc-by	
1908	lb722093	HeidenstamV_SvenskarnaOchDerasI_1908	Verner von Heidenstam	Svenskarna och deras hövdingar. Berättelser för unga och gamla. I	cc-by	
1911	lb722097	HeidenstamV_SvenskarnaOchDerasII_1911	Verner von Heidenstam	Svenskarna och deras hövdingar. Berättelser för unga och gamla. II	cc-by	
1909	lb73292	SoderbergH_HjartatsOro_1909	Hjalmar Söderberg	Hjärtats oro	cc-by	
1903	lb791261	SoderbergH_Framlingarna_1903	Hjalmar Söderberg	Främlingarna. Berättelser	cc-by	
1900	lb8073152	ForsslundKE_Storgarden_1900	Karl-Erik Forsslund	Storgården. En bok om ett hem	cc-by	
1885	lb8073160	GeijerstamG_ErikGrane_1885	Gustaf af Geijerstam	Erik Grane. Upsalaroman	cc-by	
1918	lb81740	AnderssonD_DeTreHemlosa_1918	Dan Andersson	De tre hemlösa	cc-by	
1907	lb8198484	NordstromL_Fiskare_1907	Ludvig Nordström	Fiskare	cc-by	
1909	lb8207157	NordstromL_Borgare_1909	Ludvig Nordström	Borgare	cc-by	
1907	lb8208394	HeidenstamV_FolkungatradetBjalboarfvet_1907	Verner von Heidenstam	Folkungaträdet. Bjälboarfvet	cc-by	
1901	lb8208430	SoderbergH_MartinBircks_1901	Hjalmar Söderberg	Martin Bircks ungdom	cc-by	
1931	lb8218922	NordstromEB_PatronAnnmari_1931	Ester Blenda Nordström	Patron Annmari. Rackarungen blir bonde	cc-by	
1933	lb8218923	NordstromEB_PatronForlovarSig_1933	Ester Blenda Nordström	Patron förlovar sig	cc-by	
1921	lb8220705	NordstromEB_FemtonAr_1921	Ester Blenda Nordström	15 år. Några blad ur en rackarunges liv	cc-by	
1884	lb8222220	RoosM_BerattelserOchSkizzer_1884	Mathilda Roos	Berättelser och skizzer	cc-by	
1907	lb8222415	RoosM_HvitLjung_1907	Mathilda Roos	Hvit ljung	cc-by	
1911	lb8222590	BergerH_FataMorgana_1911	Henning Berger	Fata Morgana. En Stockholmsnovell	cc-by	
1919	lb8222888	NordstromEB_EnRackarunge_1919	Ester Blenda Nordström	En rackarunge	cc-by	
1926	lb8224446	VarnlundR_VandrareTillIntet_1926	Rudolf Värnlund	Vandrare till intet. Roman	cc-by	
1840	lb8225177	RosenJM_DenFriaKarleken_1840	Johan Magnus Rosén	Den fria kärleken. Framtidsroman	cc-by	
1841	lb8225179	PlatenHCvon_EvelinaReder_1841	Henrica Carolina von Platen	Evelina Reder. Också En tafla ur lifvet	cc-by	
1916	lb8228290	RegisJ_BlaSparet_1916	Julius Regis	Blå spåret	cc-by	
1901	lb834345	ElkanS_DrommenOmOsterlandet_1901	Sophie Elkan	Drömmen om Österlandet	cc-by	
1913	lb842900	WagnerE_HelgaWisbeck_1913	Elin Wägner	Helga Wisbeck	cc-by	
1834	lb8451921	StalbergW_VinterIHernosand_1834	Wilhelmina Stålberg	En vinter i Hernösand. Novell i bref, af Wilhelmina	cc-by	
1930	lb904603	BergmanHj_ClownenJac_1930	Hjalmar Bergman	Clownen Jac. Roman	cc-by	
1914	lb905026	WagnerE_MannenOchKorsbaren_1914	Elin Wägner	Mannen och körsbären med flera berättelser	cc-by	
1918	lb914400	WagnerE_AsaHanna_1918	Elin Wägner	Åsa-Hanna. Roman	cc-by	
1919	lb9491746	BergmanHj_MarkurellsIWadkoping_1919	Hjalmar Bergman	Markurells i Wadköping	cc-by	
1836	lb99904001	SchwerinM_SmasakerAfEn1_1836	Martina von Schwerin den yngre	Småsaker af en nybegynnare. Första afdelningen 1834	cc-by	
1836	lb99904002	SchwerinM_SmasakerAfEn2_1836	Martina von Schwerin den yngre	Småsaker af en nybegynnare. Andra afdelningen 1835	cc-by	
1840	lb99904003	SchwerinM_SmasakerAfEn3_1840	Martina von Schwerin den yngre	Småsaker af en nybegynnare. Tredje afdelningen	cc-by	
1840	lb99904004	SchwerinM_SmasakerAfEn4_1840	Martina von Schwerin den yngre	Småsaker af en nybegynnare. Fjerde afdelningen	cc-by	
1904	lb99904128	ElkanS_Konungen1_1904	Sophie Elkan	Konungen. En sannsaga berättad af Sophie Elkan. Förra delen	cc-by	
1904	lb99904129	ElkanS_Konungen2_1904	Sophie Elkan	Konungen. En sannsaga berättad af Sophie Elkan. Senare delen	cc-by	
1909	lb99904148	BergerH_Dromlandet_1909	Henning Berger	Drömlandet. En Stockholmsnovell	cc-by	
